EG	Gene	Syn	Protein	Function	Description	SP	b#	
EG11908	frwC	yijJ	putative enzyme IIC component of PTS	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Predicted fructose-like PTS system enzyme IIC	P32672	b3949
EG11909	frwB	yijK	putative enzyme IIB component of PTS	Enzyme; Degradation of small molecules: Carbon compounds	Predicted fructose-like PTS system enzyme IIB, component 1	P69816	b3950
EG11910	pflD	yijL	putative glycine radical domain-containing pyruvate formate-lyase	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Putative pyruvate formate-lyase; glycine radical domain	P32674	b3951
EG11911	pflC	yijM	putative [formate-C-acetyltransferase 2]-activating enzyme; pyruvate formate-lyase 1-activating enzyme	Putative enzyme; Energy metabolism, carbon: Anaerobic respiration	Predicted [formate-C-acetyltransferase 2]-activating enzyme; pyruvate formate-lyase 1-activating enzyme	P32675	b3952
EG11912	frwD	yijN	putative enzyme IIB component of PTS	Enzyme; Degradation of small molecules: Carbon compounds	Predicted fructose-like PTS system enzyme IIB, component 2	P32676	b3953
EG11913	yijO	None	AraC family putative transcriptional activator	Putative regulator; Not classified	AraC family putative transcriptional activator, function unknown	P32677	b3954
EG11914	eptC	cptA(S.t.), yijP	LPS heptose I phosphoethanolamine transferase	Null	LPS heptose I phosphoethanolamine transferase	P0CB39	b3955
EG11915	nfi	yjaF	endonuclease V; deoxyinosine 3' endonuclease	Enzyme; Degradation of DNA	Endonuclease V, specific for single-stranded DNA or duplex DNA with damaged U; deoxyinosine 3' endonuclease; inosine 3' endoribonuclease	P68739	b3998
EG11916	yjaG	None	DUF416 domain protein	Null	DUF416 family protein, function unknown	P32680	b3999
EG11917	yjaH	None	DUF1481 family putative lipoprotein	Null	DUF1481 family probable lipoprotein, function unknown	P32681	b4001
EG11918	zraP	yjaI, zra	Zn-dependent periplasmic chaperone	Null	Zn-dependent periplasmic chaperone	P0AAA9	b4002
EG11919	yjbB	None	putative Na+/Pi-cotransporter	Phenotype; Not classified	Probable Na+/Pi-cotransporter	P0AF43	b4020
EG11920	pepE	None	peptidase E, alpha-aspartyl dipeptidase	Enzyme; Degradation of proteins, peptides, glyco	Peptidase E, alpha-aspartyl dipeptidase	P0A7C6	b4021
EG11921	rluF	yjbC	23S rRNA pseudouridine(2604) synthase	Enzyme; rRNA modification	23S rRNA pseudouridine(2604) synthase	P32684	b4022
EG11922	yjbD	None	DUF3811 family protein	Null	DUF3811 family protein, function unknown	P32685	b4023
EG11923	yjbE	None	extracellular polysaccharide production threonine-rich protein	Null	Threonine-rich protein; required to make novel extracellular polysaccharide	P0AF45	b4026
EG11924	yjbF	None	extracellular polysaccharide production lipoprotein	Null	Lipoprotein required to make novel extracellular polysaccharide	P32687	b4027
EG11925	yjbG	None	extracellular polysaccharide export OMA protein	Null	Extracellular polysaccharide export OMA protein	P32688	b4028
EG11926	yjbH	None	DUF940 family extracellular polysaccharide protein	Null	DUF940 family protein; required to make novel extracellular polysaccharide	P32689	b4029
EG11927	yjbI'	None	pseudogene, SopA-related, pentapeptide repeats-containing	Null	Pseudogene reconstruction, SopA-related, pentapeptide repeats	P32690	b4038
EG11928	yjbJ	None	stress-induced protein, UPF0337 family	Null	Stress-induced protein, UPF0337 family, function unknown	P68206	b4045
EG11929	zur	yjbK	transcriptional repressor, Zn(II)-binding	Putative regulator; Not classified	Repressor for znuABC, the zinc high-affinity transport genes; dimer; binds two Zn(II) ions per monomer	P0AC51	b4046
EG11930	yjbL	None	uncharacterized protein	Null	Function unknown	P32693	b4047
EG11931	yjbM	None	uncharacterized protein	Null	Function unknown	P32694	b4048
EG11932	dusA	yjbN	tRNA-dihydrouridine synthase A	Enzyme; tRNA modification	tRNA-dihydrouridine synthase A	P32695	b4049
EG11933	pspG	yjbO	phage shock protein G	Null	Effector of phage shock response; over expression reduces motility, function unknown	P32696	b4050
EG11934	aphA	hobH, napA, yjbP	acid phosphatase/phosphotransferase, class B, non-specific	Enzyme; Central intermediary metabolism: Nucleotide hydrolysis	Acid phosphatase, periplasmic, class B, nucleotidase; active on 3'- and 5'-mononucleotides and monodeoxynucleotides; glucose-repressed; monomeric	P0AE22	b4055
EG11935	yjbQ	None	thiamine phosphate synthase	Null	Multicopy suppressor of thiE and pdxB; weak thiamine phosphate synthase activity	P0AF48	b4056
EG11936	yjbR	None	DUF419 family protein	Null	DUF419 family protein, function unknown	P0AF50	b4057
EG11937	yjcB	None	putative inner membrane protein	Null	Putative inner membrane protein, function unknown	P32700	b4060
EG11938	yjcC	None	putative membrane-anchored cyclic-di-GMP phosphodiesterase	Null	Predicted membrane-anchored cyclic-di-GMP phosphodiesterase	P32701	b4061
EG11939	ghxP	yjcD	guanine/hypoxanthine permease, high affinity; guanine/hypoxanthine:H+ symporter	Transport; Transport of small molecules: Nucleosides, purines, pyrimidines	Guanine/hypoxanthine permease, high affinity	P0AF52	b4064
EG11940	yjcE	None	putative cation/proton antiporter	Null	Function unknown; similar to eukaryotic Na+/H+ exchangers, but not involved in Na+ extrusion	P32703	b4065
EG11941	yjcF	None	pentapeptide repeats protein	Null	Pentapeptide repeats protein, function unknown	P32704	b4066
EG11942	actP	yjcG	acetate transporter	Null	Acetate permease	P32705	b4067
EG11943	yjcH	None	DUF485 family inner membrane protein	Null	Inner membrane protein, DUF485 family, function unknown	P0AF54	b4068
EG11945	nrfB	yjcI	nitrite reductase, formate-dependent, penta-heme cytochrome c	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Cytochrome c nitrite reductase, pentaheme cytochrome, periplasmic; formate-dependent; required for NO synthesis	P0ABL1	b4071
EG11946	nrfC	yjcJ	formate-dependent nitrite reductase, 4Fe4S subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Formate-dependent nitrite reduction; nonheme FE-S protein, ferredoxin-like	P0AAK7	b4072
EG11947	nrfD	yjcK	formate-dependent nitrite reductase, membrane subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Formate-dependent nitrite reduction; transmembrane protein similar to QOR	P32709	b4073
EG11948	nrfE	yjcL	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfE	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Required for NrfA maturation; NrfEFG heme lyase complex; formate-dependent nitrite reduction	P32710	b4074
EG11949	nrfF	yjcM	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfF	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Required for NrfA maturation; NrfEFG heme lyase complex; formate-dependent nitrite reduction	P32711	b4075
EG11950	nrfG	aidC, yjcN	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfG	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Required for NrfA maturation; binds NrfA; NrfEFG heme lyase complex; formate-dependent nitrite reduction	P32712	b4076
EG11951	yjcO	None	Sel1 family TPR-like repeat protein	Null	Sel1 family TPR-like repeat protein; function unknown	P0AF56	b4078
EG11952	mdtP	sdsP, yjcP	outer membrane factor of efflux pump	Orf; Not classified	Outer membrane factor (OMF) of MdtNOP efflux pump; probable lipoprotein, Cys conserved; tolC homolog; mutants are sensitive to acriflavin and puromycin	P32714	b4080
EG11953	mdtO	sdsQ, yjcQ	membrane translocase (MDR) of MdtNOP efflux pump, PET family	Orf; Not classified	PET family membrane translocase (MDR) of MdtNOP efflux pump; mdtP mutants are sensitive to acriflavin and puromycin	P32715	b4081
EG11954	mdtN	sdsR, yjcR	membrane fusion protein of efflux pump	Putative membrane; Not classified	Membrane fusion protein (MFP) of MdtNOP efflux pump, signal anchor; mdtP mutants are sensitive to acriflavin and puromycin	P32716	b4082
EG11955	yjcS	None	putative alkylsulfatase; SDS catabolic enzyme	Putative enzyme; Not classified	Putative alkylsulfatase; SDS hydrolase; periplasmic	P32717	b4083
EG11956	alsK	yjcT	D-allose kinase	Putative regulator; Not classified	D-allose kinase	P32718	b4084
EG11957	alsE	yjcU	allulose-6-phosphate 3-epimerase	Putative enzyme; Not classified	D-allulose-6-phosphate 3-epimerase	P32719	b4085
EG11958	alsC	yjcV	D-allose ABC transporter permease	Putative transport; Not classified	D-allose ABC transporter permease	P32720	b4086
EG11959	alsA	yjcW	D-allose ABC transporter ATPase	Putative transport; Not classified	D-allose ABC transporter ATPase	P32721	b4087
EG11960	rpe	dod, yhfD	D-ribulose-5-phosphate 3-epimerase	Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway	D-ribulose-5-phosphate 3-epimerase	P0AG07	b3386
EG11961	lldP	lct, lctP	L-lactate permease	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	L-lactate permease; also involved in glycolate uptake	P33231	b3603
EG11962	lldR	lct, lctR	dual role activator/repressor for lldPRD operon	Regulator; Energy metabolism, carbon: Aerobic respiration	Dual role activator/repressor for lldPRD operon	P0ACL7	b3604
EG11963	lldD	lct, lctD	L-lactate dehydrogenase, FMN-linked	Enzyme; Energy metabolism, carbon: Aerobic respiration	L-lactate dehydrogenase, FMN dependent	P33232	b3605
EG11964	yibL	None	ribosome-associated DUF2810 family protein	Null	Ribosome-associated DUF2810 family protein, function unknown	P0ADK8	b3602
EG11965	mtlR	None	mannitol operon repressor	Regulator; Degradation of small molecules: Carbon compounds	Mannitol operon repressor	P0AF10	b3601
EG11966	adiY	None	adi system transcriptional activator	Putative regulator; Not classified	Transcriptional activator for adiA, AraC family 	P33234	b4116
EG11967	flgK	flaS	flagellar hook-filament junction protein 1	Structural component; Surface structures	Flagellar synthesis, hook-associated protein	P33235	b1082
EG11968	arfA	yhdL	alternate ribosome-rescue factor A	Null	Alternative stalled-ribosome rescue factor A; binds 50S ribosomal subunits, synthetic lethal with ssrA; recruits RF-2	P36675	b4550
EG11969	zntR	yhdM	zntA gene transcriptional activator	Putative regulator; Not classified	Zn-responsive activator of zntA transcription	P0ACS5	b3292
EG11970	yhdN	None	DUF1992 family protein	Null	Heat shock protein, DUF1992 family, function unknown, 	P36677	b3293
EG11971	nupC	cru	nucleoside (except guanosine) transporter	Transport; Transport of small molecules: Nucleosides, purines, pyrimidines	Nucleoside transporter, except guanosine	P0AFF2	b2393
EG11972	htrE	None	putative outer membrane usher protein	Putative membrane; Surface structures	Putative outer membrane fimbrial subunit export usher protein; required for growth at high temperature; induced by heat shock	P33129	b0139
EG11973	yadV	ecpD	putative periplasmic pilin chaperone	Putative factor; Surface structures	Predicted periplasmic pilus chaperone, function unknown	P33128	b0140
EG11974	fimI	None	fimbrial protein involved in type 1 pilus biosynthesis	Structural component; Surface structures	FimA homolog required for fimbriae biosynthesis	P39264	b4315
EG11975	fliP	flaR	flagellar biosynthesis protein	Putative structure; Surface structures	Flagellin export apparatus, integral membrane protein	P0AC05	b1948
EG11976	fliQ	flaQ	flagellar biosynthesis protein	Putative structure; Surface structures	Flagellin export apparatus, integral membrane protein	P0AC07	b1949
EG11977	fliR	flaP	flagellar export pore protein	Putative enzyme; Surface structures	Flagellin export apparatus, integral membrane protein	P33135	b1950
EG11978	rfbA	rmlA, som	glucose-1-phosphate thymidylyltransferase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	Glucose-1-phosphate thymidylyltransferase 1; TDP-glucose pyrophosphorylase; needed for dTDP-L-rhamnose synthesis	P37744	b2039
EG11979	rfbC	rfbD, rmlC	dTDP-4-deoxyrhamnose-3,5-epimerase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	dTDP-4-deoxyrhamnose-3,5-epimerase	P37745	b2038
EG11980	wzxB	rfbX, wzx	putative polisoprenol-linked O-antigen transporter	Putative transport; Surface polysaccharides & antigens	Predicted polisoprenol-linked O-antigen translocating flippase; lethality reduction protein	P37746	b2037
EG11981	glf	yefE	UDP-galactopyranose mutase, FAD/NAD(P)-binding	Enzyme; Degradation of small molecules: Carbon compounds	UDP-galactopyranose mutase	P37747	b2036
EG11982	wbbH	rfc, yefF	O-antigen polymerase	Enzyme; Macromolecule metabolism: Lipopolysaccharide	O-antigen polymerase	P37748	b2035
EG11983	wbbI	yefG	d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase	Enzyme; Lipopolysaccharide biosynthesis	d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase; involved in lipopolysaccharide biosynthesis	P37749	b2034
EG11984	wbbJ	yefH	putative lipopolysaccharide biosynthesis O-acetyl transferase	Putative enzyme; Not classified	Predicted lipopolysaccharide biosynthesis O-acetyl transferase; involved in lipopolysaccharide biosynthesis	P37750	b2033
EG11985	wbbK	yefI	lipopolysaccharide biosynthesis protein	Putative enzyme; Not classified	Involved in lipopolysaccharide biosynthesis	P37751	b2032
EG11986	wbbL'	yefJ	pseudogene, lipopolysaccharide biosynthesis protein	Null	Pseudogene reconstruction, rhamnosyl transferase; lipopolysaccharide biosynthesis; interrupted by IS5I	P36667	b4571
EG11987	yehA	None	putative fimbrial-like adhesin protein	Putative structural component; Surface structures	Putative fimbrial protein; in yehDCBA fimbrial operon	P33340	b2108
EG11988	yehB	None	putative outer membrane protein	Putative membrane; Not classified	Putative outer membrane fimbrial subunit export usher protein	P33341	b2109
EG11989	yehC	None	putative periplasmic pilin chaperone	Putative factor; Surface structures	Predicted periplasmic pilus chaperone	P33342	b2110
EG11990	yehD	None	putative fimbrial-like adhesin protein	Putative structural component; Surface structures	FimA homolog	P33343	b2111
EG11991	yehE	None	DUF2574 family protein	Null	DUF2574 family protein	P33344	b2112
EG11992	yehH'	dinO, molR, sosF, yehF, yehG	DUF4132 family pseudogene; defective yehI paralog	Null	Pseudogene reconstruction, DUF4132 family domain protein; WGR-like domain-containing protein, LexA-regulated	P33345	b4499
EG11995	yehI	None	DUF4132 domain-containing protein	Putative regulator; Not classified	DUF4132 family protein, YehH paralog	P33346	b2118
EG11997	yehK	None	uncharacterized protein	Null	Uncharacterized protein	P33347	b4541
EG11998	yehL	None	putative hexameric AAA+ MoxR family ATPase	Null	Putative hexameric AAA+ MoxR family ATPase; possible molecular chaperone	P33348	b2119
EG11999	yehM	yehN, yehO	uncharacterized protein	Null	Uncharacterized protein	P33349	b2120
EG12002	yehP	None	VMA domain putative YehL ATPase stimulator	Null	VWA domain protein, predicted stimulator of YehL ATPase; required for swarming phenotype	P33352	b2121
EG12003	yehQ'	None	pseudogene	Null	Pseudogene reconstruction	P33353	b2122
EG12004	yehR	None	lipoprotein, DUF1307 family	Enzyme; Transport of small molecules: Cations	DUF1307 family lipoprotein, function unknown	P33354	b2123
EG12005	yehS	None	DUF1456 family protein	Null	DUF1456 family protein, function unknown	P33355	b2124
EG12006	yehT	None	putative response regulator in two-component system withYehU	Null	Stationary phase response regulator inducing yjiY	P0AFT5	b2125
EG12007	yehU	None	inner membrane putative sensory kinase in two-component system with YehT	Putative regulator; Not classified	Stationary phase sensor kinase regulating yjiY	P0AD14	b2126
EG12008	mlrA	yehV	transcriptional activator of csgD and csgBA	Regulator; Not classified	Transcriptional regulator of csgD	P33358	b2127
EG12009	yehW	None	putative ABC transporter permease	Putative transport; Not classified	Putative ABC transporter permease; osmotically and stationary phase inducible	P33359	b2128
EG12010	yehX	None	putative ABC transporter ATPase	Putative transport; Not classified	Putative ABC transporter ATPase; osmotically and stationary phase inducible	P33360	b2129
EG12011	yehY	None	putative ABC transporter permease	Putative transport; Not classified	Putative ABC transporter permease; osmotically and stationary phase inducible	P33361	b2130
EG12012	osmF	yehZ	putative ABC transporter periplasmic binding protein	Putative transport; Not classified	Predicted periplasmic binding protein, function unknown; osmotically and stationary phase inducible; part of putative ABC transporter	P33362	b2131
EG12013	bglX	glh, yohA	beta-D-glucoside glucohydrolase, periplasmic	Enzyme; Degradation of small molecules: Carbon compounds	Periplasmic beta-glucosidase	P33363	b2132
EG12015	pbpG	psv, yohB	D-alanyl-D-alanine endopeptidase	Putative enzyme; Murein sacculus, peptidoglycan	Murein D-alanyl-D-alanine endopeptidase, periplasmic PBP7 and PBP8; uniquely binds beta-lactam penems, lysing non-growing cells; mutant has biofilm defect	P0AFI5	b2134
EG12016	yohC	None	Yip1 family inner membrane protein	Null	Inner membrane protein, Yip1 family, function unknown	P0AD17	b2135
EG12017	yohD	None	DedA family inner membrane protein	Null	DedA family inner membrane protein, function unknown	P33366	b2136
EG12019	yohF	yohE	putative oxidoreductase	Putative enzyme; Not classified	Predicted oxidoreductase, COG1028 family; function unknown; acid sensitive, induced by ALS inhibition	P33368	b2137
EG12020	mdtQ'	yohG, yohH	pseudogene	Null	Pseudogene reconstruction, lipoprotein drug pump OMF family; putative outer membrane factor (OMF) component of tripartite efflux system; mutants are sensitive to acriflavin and puromycin; tolC paralog	P33369	b2139
EG12022	dusC	yohI	tRNA-dihydrouridine synthase C	Enzyme; tRNA modification	tRNA-dihydrouridine synthase C	P33371	b2140
EG12023	yohJ	None	UPF0299 family inner membrane protein	Null	UPF0299 family inner membrane protein, function unknown	P60632	b2141
EG12024	yohK	None	LrgB family inner membrane protein	Putative transport; Not classified	Inner membrane protein, LrgB family, function unknown; S. aureus ortholog missing a murein hydrolase, possibly due to protein transport defect; six TM segment predicted inner membrane protein homologus to known transporters	P0AD19	b2142
EG12025	sanA	sfiX(St), yeiF	DUF218 superfamily vancomycin high temperature exclusion protein	Transport; Drug/analog sensitivity	Vancomycin high temperature exclusion protein; DUF218 superfamily protein	P0AFY2	b2144
EG12026	yeiG	None	S-formylglutathione hydrolase	Enzyme; Formaldehyde degradation	S-formylglutathione hydrolase, formaldehyde degradation; S-lactoylglutathione hydrolase, may be involved in methylglyoxal detoxification in the cytoplasm; constitutively expressed, not induced by formaldehyde	P33018	b2154
EG12027	yeiH	None	UPF0324 family inner membrane protein	Null	Inner membrane protein, UPF0324 family, function unknown	P62723	b2158
EG12028	yeiI	None	putative kinase	Putative enzyme; Not classified	Predicted sugar kinase, function unknown	P33020	b2160
EG12029	nupX	yeiJ	nucleoside permease	Putative transport; Not classified	Nucleoside permease; in operon with rihB; silent (uninduced) gene	P33021	b2161
EG12030	rihB	yeiK	ribonucleoside hydrolase 2	Null	Ribonucleoside hydrolase, pyrimidine specific; silent gene; in operon with nupX nucleoside transporter; induced by AI-2 pheromone	P33022	b2162
EG12031	yeiL	None	nitrogen starvation viability factor; putative ColA sensitivity effector; putative Crp-Fnr family transcriptional regulator	Putative regulator; Not classified	Putative ColA sensitivity effector; nitrogen starvation viability factor; putative CRP-FNR family transcriptional regulator; Fe-S cluster; autoregulator	P0A9E9	b2163
EG12032	psuT	pscT, yeiM	putative nucleoside transporter	Putative transport; Not classified	Predicted pseudouridine transporter	P33024	b2164
EG12033	psuG	pscG, yeiN	pseudouridine 5'-phosphate glycosidase	Enzyme; pseudouridine catabolism	Pseudouridine 5'-phosphate glycosidase; pseudouridine utilization	P33025	b2165
EG12034	setB	yeiO	lactose/glucose efflux system	Orf; Not classified	Glucose and lactose efflux transporter	P33026	b2170
EG12035	yeiP	None	elongation factor P-like protein	Null	Elongation factor P-like protein, function unknown; low abundance protein	P0A6N8	b2171
EG12036	yeiQ	None	putative NAD-dependent D-mannonate oxidoreductase	Putative enzyme; Not classified	Predicted D-mannonate oxidoreductase, NAD-dependent	P33029	b2172
EG12037	yejA	None	microcin C ABC transporter periplasmic binding protein	Null	Microcin C ABC transporter periplasmic binding protein; regulated by rydC sRNA	P33913	b2177
EG12038	yejB	None	microcin C ABC transporter permease	Putative transport; Not classified	Microcin C ABC transporter permease; regulated by rydC sRNA	P0AFU0	b2178
EG12040	yejE	None	microcin C ABC transporter permease	Putative transport; Not classified	Microcin C ABC transporter permease; regulated by rydC sRNA	P33915	b2179
EG12041	yejF	None	microcin C ABC transporter ATPase	Putative transport; Not classified	Microcin C ABC transporter ATPase; regulated by rydC sRNA	P33916	b2180
EG12042	yejG	None	uncharacterized protein	Null	YejG family prototype, function unknown	P0AD21	b2181
EG12043	yejL	None	UPF0352 family protein	Null	UPF0352 family protein, function unknown	P0AD24	b2187
EG12044	rsuA	yejD	16S rRNA pseudouridine(516) synthase	Enzyme; rRNA modification	16S rRNA pseudouridine(516) synthase	P0AA43	b2183
EG12045	yejH	yejI, yejJ	putative ATP-dependent DNA or RNA helicase	Putative enzyme; Not classified	Predicted ATP-dependent DNA or RNA helicase, function unknown	P33919	b2184
EG12048	yejK	ndpA	spermidine nucleoid-associated protein	Null	Spermidine nucleoid-associated protein, function unknown	P33920	b2186
EG12049	yejM	yejN	essential inner membrane DUF3413 domain-containing protein; lipid A production and membrane permeability factor	Putative enzyme; Not classified	Essential inner membrane DUF3413 domain protein; lipid A defect; membrane permeability defect	P0AD27	b2188
EG12051	yejO'	None	pseudogene, autotransporter outer membrane homology	Putative transport; Not classified	Pseudogene reconstruction, autotransporter homolog; interrupted by IS5K	P33924	b2190
EG12052	ccmH	yejP	heme lyase, CcmH subunit	Putative enzyme; Energy metabolism, carbon: Electron transport	Heme lyase, with CcmF, required for transfer of heme to apocytochrome from heme-CcmE	P0ABM9	b2194
EG12053	dsbE	ccmG, yejQ	periplasmic thioredoxin of cytochrome c-type biogenesis	Enzyme; Energy metabolism, carbon: Electron transport	Thiol-disulfide interchange protein, cytochrome C biogenesis; membrane-anchored, periplasmic; thioredoxin homolog	P0AA86	b2195
EG12054	ccmF	yejR	heme lyase, CcmF subunit	Putative enzyme; Energy metabolism, carbon: Electron transport	Heme lyase, with CcmH, required for transfer of heme to apocytochrome from heme-CcmE	P33927	b2196
EG12055	ccmE	yejS	periplasmic heme chaperone	Putative enzyme; Energy metabolism, carbon: Electron transport	Heme chaperone, membrane-anchored, periplasmic	P69490	b2197
EG12057	ccmC	yejT, yejU	heme export ABC transporter permease; CcmE-interacting protein	Transport; Protein, peptide secretion	Heme export ABC transporter permease; delivers heme to and interacts with CcmE	P0ABM1	b2199
EG12058	ccmB	yejV	heme export ABC transporter permease	Transport; Protein, peptide secretion	Heme export ABC transporter permease	P0ABL8	b2200
EG12059	ccmA	yejW	heme export ABC transporter ATPase	Transport; Protein, peptide secretion	Heme export ABC transporter ATPase	P33931	b2201
EG12060	napC	yejX	quinol dehydrogenase, electron source for NapAB	Putative enzyme; Energy metabolism, carbon: Electron transport	Quinol dehydrogenase, electron source for NapAB; membrane-bound; bound hemes	P0ABL5	b2202
EG12061	napB	yejY	nitrate reductase, small, cytochrome C550 subunit, periplasmic	Carrier; Energy metabolism, carbon: Electron transport	Nitrate reductase, periplasmic	P0ABL3	b2203
EG12062	napH	yejZ	ferredoxin-type protein	Carrier; Energy metabolism, carbon: Electron transport	Quinol dehydrogenase, membrane protein; polyferredoxin; mediates electron transfer from ubiquinol/naphthoquinone to NapAB, via NapC; non-haem, iron-sulfur protein	P33934	b2204
EG12064	napG	yojA, yojB	ferredoxin-type protein	Carrier; Energy metabolism, carbon: Electron transport	Quinol dehydrogenase, periplasmic protein; mediates electron transfer from ubiquinol/naphthoquinone to NapAB, via NapC; non-haem, iron-sulfur protein	P0AAL3	b2205
EG12067	napA	yojC, yojD, yojE	nitrate reductase, periplasmic, large subunit	Putative enzyme; Energy metabolism, carbon: Anaerobic respiration	Nitrate reductase, periplasmic	P33937	b2206
EG12068	napF	yojG	ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase NapA	Carrier; Energy metabolism, carbon: Electron transport	Required for NapAB nitrate-dependent growth with ubiquinone; not essential for electron transfer from ubiquinol or menaquinol to NapAB (Brondijk, 2002); may have energy-conservng role in ubiquinol oxidation; non-haem, iron-sulfur protein	P0AAL0	b2208
EG12069	mqo	yojH	malate dehydrogenase, FAD/NAD(P)-binding domain	Null	Malate oxidoreductase; possibly previously described FAD-dependent phospholipid-activated malate oxidase	P33940	b2210
EG12070	yojI	yojJ	microcin J25 efflux ABC transporter permease/ATPase	Putative transport; Not classified	Microcin J25 efflux ABC transporter permease/ATPase; TolC-dependent	P33941	b2211
EG12073	apbE	yojK, yojL	putative thiamine-synthetic flavin transferase lipoprotein	Null	Putative flavin transferase, lipoprotein	P0AB85	b2214
EG12074	mokC	gefL	regulatory protein for HokC, overlaps CDS of hokC	Null	Overlapping regulatory peptide, enables hokC expression	P33236	b0018
EG12075	nikA	hydC, hydD	nickel/heme ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Cations	Nickel/heme ABC transporter periplasmic binding protein	P33590	b3476
EG12076	nikB	hydC, hydD	nickel ABC transporter permease	Transport; Transport of small molecules: Cations	Nickel ABC transporter permease	P33591	b3477
EG12077	nikC	hydC, hydD	nickel ABC transporter permease	Transport; Transport of small molecules: Cations	Nickel ABC transporter permease	P0AFA9	b3478
EG12078	nikD	hydC, hydD	nickel ABC transporter ATPase	Transport; Transport of small molecules: Cations	Nickel ABC transporter ATPase	P33593	b3479
EG12079	nikE	hydC, hydD	nickel ABC transporter ATPase	Transport; Transport of small molecules: Cations	Nickel ABC transporter ATPase	P33594	b3480
EG12080	recX	oraA	regulatory protein for RecA	Putative regulator; Not classified	Blocks RecA filament extension; inhibitor of RecA ATPase, recombinase and coprotease activities; null mutant and over-expressors have reduced resistance to DNA damage; binding to RecA is antagonized by RecF	P33596	b2698
EG12081	ppdA	None	putative prepilin peptidase-dependent protein	Putative structural component; Surface structures	Predicted prepilin peptidase-dependent protein; FlhDC- and FliA-regulated	P33554	b2826
EG12082	nuoA	None	NADH:ubiquinone oxidoreductase, membrane subunit A	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit A, complex I; NADH dehydrogenase I	P0AFC3	b2288
EG12083	nuoB	None	NADH:ubiquinone oxidoreductase, chain B	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit B, complex I; NADH dehydrogenase I	P0AFC7	b2287
EG12084	nuoC	nuoCD, nuoD	NADH:ubiquinone oxidoreductase, fused CD subunit	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase, fused CD subunit, complex I; NADH dehydrogenase I	P33599	b2286
EG12086	nuoE	None	NADH:ubiquinone oxidoreductase, chain E	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit E, complex I; NADH dehydrogenase I	P0AFD1	b2285
EG12087	nuoG	None	NADH:ubiquinone oxidoreductase, chain G	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit G, complex I; NADH dehydrogenase I	P33602	b2283
EG12088	nuoH	None	NADH:ubiquinone oxidoreductase, membrane subunit H	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit H, complex I; NADH dehydrogenase I	P0AFD4	b2282
EG12089	nuoI	None	NADH:ubiquinone oxidoreductase, chain I	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit I, complex I; NADH dehydrogenase I	P0AFD6	b2281
EG12090	nuoJ	None	NADH:ubiquinone oxidoreductase, membrane subunit J	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit J, complex I; NADH dehydrogenase I	P0AFE0	b2280
EG12091	nuoK	None	NADH:ubiquinone oxidoreductase, membrane subunit K	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit K, complex I; NADH dehydrogenase I	P0AFE4	b2279
EG12092	nuoL	None	NADH:ubiquinone oxidoreductase, membrane subunit L	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit L, complex I; NADH dehydrogenase I; NuoL facilitates the uptake of Na(+), is homologus to antiporters, and is implicated in proton pumping	P33607	b2278
EG12093	nuoN	None	NADH:ubiquinone oxidoreductase, membrane subunit N	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit N, complex I; NADH dehydrogenase I	P0AFF0	b2276
